Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
 BAR B Q KING |31 Whytescauseway,  KY1 1XF|KY1 1XF|Fife|Other Catering|Tobacco And Nicotine Vapour Products|BAR B Q KING |Active
 Birkmyre Store|15 Birkmyre Avenue,  PA14 5AR|PA14 5AR|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|Birkmyre store|Inactive
 Courtyard bar |31 Campbell street ,  ML3 6AS|ML3 6AS|South Lanarkshire|Public House|Nicotine Vapour Products Only|31 courtyard ltd |Active
 Courtyard bar |31 Campbell street ,  ML3 6AS|ML3 6AS|South Lanarkshire|Public House|Nicotine Vapour Products Only|31 courtyard ltd |Active
 Inch Service Station|A75 , Castle Kennedy DG9 8RY|DG9 8RY|Dumfries and Galloway|Forecourt Garage|Tobacco And Nicotine Vapour Products|Penny Petroleum (Scotland) Ltd. |Active
 UR7 LTD|Fone unlocker, 276B High Street EH49 7ER|EH49 7ER|West Lothian|Other Retail|Nicotine Vapour Products Only|UR7 LTD|Active
 Wrap Bar ,Kings Buildings Shop Ltd|Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW EH9 3DW|EH9 3DW|Edinburgh City|Other Retail|Tobacco And Nicotine Vapour Products|Edinburgh University Students Assosciation|Active
(Keystore) G&M Newsagents|281-283 High Street, Leslie KY6 3AX|KY6 3AX|Fife|Confectionary / Tobacconist / Newsagents|Tobacco Only|G&M Newsagents|Inactive
@home|72-76 Murraygate,  DD1 2BB|DD1 2BB|Dundee City|Supermarket and Other Retail Outlets|Nicotine Vapour Products Only|shery trading|Active
1|Vill and post sarsara, Sarsara 222 162|222 162|East Lothian|Other Retail|Tobacco Only|R p |Active
1 Stop News|366 Cumbernauld Road,  G31 3NQ|G31 3NQ|Glasgow City|Convenience Store|Tobacco Only|1 Stop News|Active
10 Dollar Shake|9 Knockothie Road,  AB41 9EG|AB41 9EG|Aberdeenshire|Other Catering|Tobacco Only|10 Dollar Shake|Active
10 oclock shop|23 glasgow road, wishaw ML2 7PG|ML2 7PG|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|maukinfauld ltd|Inactive
10 o'clock shop|135 garscadden road,  G15 6UQ|G15 6UQ|Glasgow City|Convenience Store|Tobacco Only|ats management t/a 10 o'clock shop|Active
10 O'Clock Shop|694B Old Edinburgh Road, Viewpark G71 6LD|G71 6LD|North Lanarkshire|Off-Licence|Tobacco Only|10 O'Clock Shop|Inactive
100 Acre|360 Curtis Avenue,  G73 2EB|G73 2EB|South Lanarkshire|Public House|Tobacco Only|Bonatti Bros|Active
107/109 Cheviot Crescent |107/109 Cheviot Crescent ,  DD4 9QR|DD4 9QR|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|Mohammed Dih|Active
11 o'clock Shop|66 Long Row,  PA28 6DD|PA28 6DD|Argyll and Bute|Convenience Store|Tobacco Only|11 o'clock Shop|Inactive
11 Scotland Limited |Best One , 1763 - 1765  Cumbernauld Road G33 1AA|G33 1AA|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Hyndland Street Convenience|Active
12 cathkin drive|Sweet News, 12 Cathkin Drive, Clarkston G76 7PF|G76 7PF|East Renfrewshire|Convenience Store|Tobacco Only|Cathkin news Ltd|Active
 BAR B Q KING |31 Whytescauseway,  KY1 1XF|KY1 1XF|Fife|Other Catering|Tobacco And Nicotine Vapour Products|BAR B Q KING |Active
 Birkmyre Store|15 Birkmyre Avenue,  PA14 5AR|PA14 5AR|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|Birkmyre store|Inactive
 Courtyard bar |31 Campbell street ,  ML3 6AS|ML3 6AS|South Lanarkshire|Public House|Nicotine Vapour Products Only|31 courtyard ltd |Active
 Courtyard bar |31 Campbell street ,  ML3 6AS|ML3 6AS|South Lanarkshire|Public House|Nicotine Vapour Products Only|31 courtyard ltd |Active
 Inch Service Station|A75 , Castle Kennedy DG9 8RY|DG9 8RY|Dumfries and Galloway|Forecourt Garage|Tobacco And Nicotine Vapour Products|Penny Petroleum (Scotland) Ltd. |Active
 UR7 LTD|Fone unlocker, 276B High Street EH49 7ER|EH49 7ER|West Lothian|Other Retail|Nicotine Vapour Products Only|UR7 LTD|Active
 Wrap Bar ,Kings Buildings Shop Ltd|Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW EH9 3DW|EH9 3DW|Edinburgh City|Other Retail|Tobacco And Nicotine Vapour Products|Edinburgh University Students Assosciation|Active
(Keystore) G&M Newsagents|281-283 High Street, Leslie KY6 3AX|KY6 3AX|Fife|Confectionary / Tobacconist / Newsagents|Tobacco Only|G&M Newsagents|Inactive
@home|72-76 Murraygate,  DD1 2BB|DD1 2BB|Dundee City|Supermarket and Other Retail Outlets|Nicotine Vapour Products Only|shery trading|Active
1|Vill and post sarsara, Sarsara 222 162|222 162|East Lothian|Other Retail|Tobacco Only|R p |Active
1 Stop News|366 Cumbernauld Road,  G31 3NQ|G31 3NQ|Glasgow City|Convenience Store|Tobacco Only|1 Stop News|Active
10 Dollar Shake|9 Knockothie Road,  AB41 9EG|AB41 9EG|Aberdeenshire|Other Catering|Tobacco Only|10 Dollar Shake|Active
10 oclock shop|23 glasgow road, wishaw ML2 7PG|ML2 7PG|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|maukinfauld ltd|Inactive
10 o'clock shop|135 garscadden road,  G15 6UQ|G15 6UQ|Glasgow City|Convenience Store|Tobacco Only|ats management t/a 10 o'clock shop|Active
10 O'Clock Shop|694B Old Edinburgh Road, Viewpark G71 6LD|G71 6LD|North Lanarkshire|Off-Licence|Tobacco Only|10 O'Clock Shop|Inactive
100 Acre|360 Curtis Avenue,  G73 2EB|G73 2EB|South Lanarkshire|Public House|Tobacco Only|Bonatti Bros|Active
107/109 Cheviot Crescent |107/109 Cheviot Crescent ,  DD4 9QR|DD4 9QR|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|Mohammed Dih|Active
11 o'clock Shop|66 Long Row,  PA28 6DD|PA28 6DD|Argyll and Bute|Convenience Store|Tobacco Only|11 o'clock Shop|Inactive
11 Scotland Limited |Best One , 1763 - 1765  Cumbernauld Road G33 1AA|G33 1AA|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Hyndland Street Convenience|Active
12 cathkin drive|Sweet News, 12 Cathkin Drive, Clarkston G76 7PF|G76 7PF|East Renfrewshire|Convenience Store|Tobacco Only|Cathkin news Ltd|Active
12/14|12/14 Eral Gray Street,  EH3 9BN|EH3 9BN|Edinburgh City|Other Retail|Tobacco Only|bargain spot|Inactive
120 Hilltown Ltd |Hilton Convenience Store, 120 Hilltown DD3 7BG|DD3 7BG|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|120 Hilltown Ltd. |Active
12-14 Jeffrey street|12-14 Jeffrey street,  EH1 1DT|EH1 1DT|Edinburgh City|Other Retail|Tobacco Only|Dochgarroch and Santiago ltd|Active
123 Deli & Shop|28a Greenhill Road, Rutherglen G73 2SP|G73 2SP|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|123 Deli & Shop|Inactive
125 Roman road|125 Roman road,  ML1 1EA|ML1 1EA|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|S&z store ltd|Active
127 old castle news agent|127 old castle news agent,  G44 5TJ|G44 5TJ|Glasgow City|Other Retail|Tobacco Only|old castle news agent|Active
131|131 Station Road,  ML7 4BJ|ML7 4BJ|North Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|David & Isla Brown (Newsagents) t/a 131|Inactive
131 newsagents|131 station road,  ML7 4BJ|ML7 4BJ|North Lanarkshire|Convenience Store|Tobacco Only|131 newsagents|Active
133 134Main street newtongrag|Post Office, 133 Main Street, Newtongrange EH22 4PF|EH22 4PF|Midlothian|Off-Licence|Tobacco And Nicotine Vapour Products|best one newtongrag|Active
140|140 Main Street, Cambuslang ,  G72 7EL|G72 7EL|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Day-Today Local Cambuslang |Active
143 high st|143 high st,  G1 1PH|G1 1PH|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|vehniwals|Active
151 Sauchihall st|Johar Clothing Ltd, 151 Sauchiehall Street G2 3EW|G2 3EW|Glasgow City|Other Retail|Nicotine Vapour Products Only|Bargain store |Active
177 high street|177-179 High Street,  KA7 1QT|KA7 1QT|South Ayrshire|Other Retail|Nicotine Vapour Products Only|SweetTreatsGreetings|Active
18 Lindsay Drive|18 Lindsay Drive,  KA3 7LJ|KA3 7LJ|North Ayrshire|Off-Licence|Tobacco And Nicotine Vapour Products|Premier Stores|Active
18 teviot place|18 teviot place,  EH1 2QZ|EH1 2QZ|Edinburgh City|Convenience Store|Tobacco Only|Le petit marche|Inactive
192 carseview|192, carseview FK10 2ST|FK10 2ST|Clackmannanshire|Mobile Trade|Tobacco Only|KCices|Inactive
19th hole|main street, southerness DG2 8AZ|DG2 8AZ|Dumfries and Galloway|Public House|Tobacco Only|19 th hole|Active
1st 4 convenience|296 main street, bellshill ML4 1AB|ML4 1AB|North Lanarkshire|Convenience Store|Tobacco Only|1st 4 convenience|Inactive
1st choice superstore|159 pitkerro road,  DD4 8DH|DD4 8DH|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|1st choice superstore|Active
1st Stop 2 Shop|32-38 Fintry Drive,  DD4 9PB|DD4 9PB|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|1st Stop 2 Shop|Active
1st stop 2 shop|81 south street,  DD8 2BS|DD8 2BS|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|1st STOP 2 SHOP|Active
1st stop 2 shop|3 shielhill road,  DD8 4PN|DD8 4PN|Angus|Convenience Store|Tobacco Only|1st STOP 2 SHOP|Inactive
1st Stop 2 Shop|74-76 Glamis Road,  DD8 5DD|DD8 5DD|Angus|Convenience Store|Tobacco Only|1st Stop 2 Shop|Active
1ST STOP 2 SHOP|74-76 GLAMIS ROAD,  DD8 5DD|DD8 5DD|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|SHEENI & ZAKI  LTD|Active
2 Go Stores Ltd (Rossie Island Shop)|33 Rossie Island Road,  DD10 9NR|DD10 9NR|Angus|Confectionary / Tobacconist / Newsagents|Tobacco Only|2go stores ltd|Active
2 Victoria Buildings - Pharmacy|2 Victoria Buildings`, Drumna N63 6TU|N63 6TU|Highland|Other Retail|Nicotine Vapour Products Only|Donal Bolger|Active
20 Annsfield Road|20 Annsfield Road,  ML3 8BQ|ML3 8BQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Shaz CONVENIENCE store Ltd |Active
2018 New Exp Dundee|Unit 6, Dundee Station, South Union Street DD1 4BY|DD1 4BY|Dundee City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Tesco Stores Ltd|Active
21 Dalrymple Street|21, dalrymple street KA26 9EU|KA26 9EU|South Ayrshire|Other Retail|Nicotine Vapour Products Only|THE LAND OF BARGAINS|Inactive
2148 Glasgow Hanover Express|Tesco Stores Limited, 194 North Hanover Street G4 0PY|G4 0PY|Glasgow City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Tesco Stores Ltd|Active
225-229|SARACEN STREET,  G22 5JW|G22 5JW|Glasgow City|Convenience Store|Tobacco Only|SCOTT NEWS|Active
24 HOUR SHOP|380 Dumbarton Road,  G11 6RZ|G11 6RZ|Glasgow City|Entertainment Venue|Tobacco Only|Closer To Ltd|Active
24/7 Shops|404 Byres Road,  G12 8AS|G12 8AS|Glasgow City|Convenience Store|Tobacco Only|Dusk til Dawn (Byres) Ltd|Active
25|sandbank street, maryhill G20 0PQ|G20 0PQ|Glasgow City|Convenience Store|Tobacco Only|pba superstore|Active
27 Ladymuir Crescent|27 Ladymuir Crescent, Pollock G53 5UE|G53 5UE|Glasgow City|Convenience Store|Tobacco Only|salvie store ltd|Active
27 ladymuir crescent|27, Ladymuir crescent G53 5UE|G53 5UE|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|New sialvie ltd|Active
28 Islay Drive |28 Islay Drive, Newton Mearns G77 6UD|G77 6UD|East Renfrewshire|Off-Licence|Tobacco And Nicotine Vapour Products|Drinks Inn |Active
29 Private Members Club|29 Royal Exchange Square,  G1 3AJ|G1 3AJ|Glasgow City|Entertainment Venue|Tobacco Only|One up trading as glenerrol|Active
296 cumbernauld road|296 cumbernauld road,  G31 2UL|G31 2UL|Glasgow City|Convenience Store|Tobacco Only|ashraif ltd|Active
2c drinks n things|331, calder road EH11 4AH|EH11 4AH|Edinburgh City|Off-Licence|Tobacco Only|2c drinks n things|Inactive
2ndhnd |unit 11/14 Olympic Bus Park, Olympic Bus Park KA2 9BE|KA2 9BE|South Ayrshire|Supermarket and Other Retail Outlets|Tobacco Only|2ndhnd ltd|Active
3 barge Street|3A Bridge Street,  OL10 1JB|OL10 1JB|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|V.I.B vibes electronic& cigarettes |Active
3 CARFIN STREET|3/1 3 Carfin Street,  G42 7QA|G42 7QA|Glasgow City|Convenience Store|Tobacco Only|SM PK STORE|Active
3 in 1 Xtra|67-69 Elmbank Street,  G2 4PQ|G2 4PQ|Glasgow City|Other Catering|Tobacco Only|3 in 1 Fast Foods Ltd|Active
30 hillview road|30 hillview road, Ormiston  EH35 5HW|EH35 5HW|East Lothian, Edinburgh City, Midlothian|Mobile Trade|Nicotine Vapour Products Only|CRS|Active
35|35 main street roslin,  EH25 9LA|EH25 9LA|Midlothian|Convenience Store|Tobacco Only|roslin moni market|Inactive
375a Victoria Road|375a Victoria Road,  G42 8RZ|G42 8RZ|Glasgow City|Other Retail|Tobacco And Nicotine Vapour Products|Kurdish Kobane |Active
