datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01009308,Abbey Parks North,28.57,18.18,14.29,8.33,9.09,12.5
S01009309,Abbey Parks South and Brucefield North West,27.27,22.58,12.5,8.33,10.34,10.34
S01008686,Abbeyhill - 01,18.42,15.38,16.67,16.67,29.41,27.27
S01008687,Abbeyhill - 02,4.88,6.9,4.76,11.76,6.25,9.52
S01008688,Abbeyhill - 03,9.52,10.53,11.11,5,7.14,0
S01009340,Abbeyview Central,42.86,35.71,38.89,26.32,27.27,28
S01009338,Abbeyview East,23.81,20,21.15,18,15.79,17.65
S01009345,Abbeyview Linburn,17.65,15.79,16.67,20,24,25.71
S01009339,Abbeyview North,60.71,61.11,41.46,39.53,34.88,40.48
S01009344,Abbeyview South East,16.67,16.67,13.04,13.79,11.54,7.41
S01009341,Abbeyview West,30,37.04,32.14,23.53,24,24.14
S01007027,Aberchirder and Whitehills - 01,17.24,8.7,9.09,13.04,17.86,22.22
S01007028,Aberchirder and Whitehills - 02,0,20,26.67,25,9.52,4.35
S01007029,Aberchirder and Whitehills - 03,20,18.75,7.14,0,0,5
S01007030,Aberchirder and Whitehills - 04,14.81,12.5,19.23,19.23,22.73,23.53
S01007031,Aberchirder and Whitehills - 05,27.78,32,20.83,27.27,19.05,21.74
S01009454,Aberdour,2.7,6.45,4.35,5.56,0,7.69
S01009636,Aberhill,40.62,43.59,37.5,35.19,31.91,37.84
S01011871,Aberuthven and Almondbank - 01,16.13,23.33,12.5,13.64,17.86,17.65
S01011872,Aberuthven and Almondbank - 02,7.41,0,5.56,6.25,5.56,0
S01011873,Aberuthven and Almondbank - 03,18.75,14.29,6.25,6.67,0,0
S01011874,Aberuthven and Almondbank - 04,11.11,9.52,11.76,6.67,8.33,8.33
S01011875,Aberuthven and Almondbank - 05,0,0,0,10.53,19.23,22.58
S01006794,Aboyne and South Deeside - 01,0,8.33,7.14,6.67,0,0
S01006795,Aboyne and South Deeside - 02,4.76,7.69,3.85,4.76,0,0
S01006796,Aboyne and South Deeside - 03,0,10.53,8.7,7.41,0,0
S01006797,Aboyne and South Deeside - 04,0,0,0,0,0,0
S01006798,Aboyne and South Deeside - 05,0,0,0,0,0,0
S01006799,Aboyne and South Deeside - 06,20,22.22,27.78,44.44,31.82,22.73
S01006800,Aboyne and South Deeside - 07,0,0,0,0,0,0
S01011760,Abronhill North - 01,10.34,17.24,13.79,10.71,6.9,12
S01011761,Abronhill North - 02,3.45,3.57,18.18,25,22.22,10.53
S01011762,Abronhill North - 03,21.43,25.93,26.92,17.86,15.38,13.79
S01011763,Abronhill North - 04,0,0,0,0,14.29,17.65
S01011764,Abronhill North - 05,12.5,14.29,28.57,45.45,45.45,33.33
S01011765,Abronhill North - 06,0,0,0,0,0,0
S01011755,Abronhill South - 01,33.33,24.14,32.35,25,21.57,12.24
S01011756,Abronhill South - 02,10.64,17.95,26.47,26.47,26.47,31.58
S01011757,Abronhill South - 03,9.38,12.5,25,18.75,20,18.18
S01011758,Abronhill South - 04,13.64,9.52,15,21.43,30,20
S01011759,Abronhill South - 05,10,9.52,0,0,5.26,9.52
S01009372,Admiralty Central,11.11,12.5,0,10,8.33,6.67
S01009367,Admiralty North,10,7.14,18.18,24.14,28,21.74
S01009371,Admiralty North East,9.52,17.39,15,22.22,17.65,21.43
S01009376,Admiralty South,50,33.33,44.44,60,72.73,58.33
S01009375,Admiralty South East,50,36.67,18.52,14.81,24,28
S01009374,Admiralty South West,21.43,20,22.58,17.86,14.29,9.52
S01011663,Airdrie North - 01,22.5,34.29,43.75,51.52,41.67,34.21
S01011664,Airdrie North - 02,42.31,35.71,27.27,20,21.05,25
S01011665,Airdrie North - 03,20.69,16,4,24,23.81,25
S01011666,Airdrie North - 04,16.67,20,26.67,30.77,31.03,32.14
